Type,Price,Quantity,Country
T-Shirt,19.99,25,USA
Jeans,49.99,15,Canada
Dress,39.99,10,UK
Sweater,29.99,20,Australia
Jacket,79.99,8,Germany
T-Shirt,19.99,30,USA
Jeans,49.99,12,Canada
Dress,39.99,8,UK
Sweater,29.99,15,Australia
Jacket,79.99,6,Germany
Jeans,49.99,20,USA
Dress,39.99,15,Canada
T-Shirt,19.99,10,UK
Sweater,29.99,18,Australia
Jacket,79.99,5,Germany
T-Shirt,19.99,22,USA
Jeans,49.99,17,Canada
Dress,39.99,9,UK
Sweater,29.99,12,Australia
Jacket,79.99,7,Germany
Jeans,49.99,14,USA
Dress,39.99,11,Canada
T-Shirt,19.99,20,UK
Sweater,29.99,14,Australia
Jacket,79.99,6,Germany
T-Shirt,19.99,26,USA
Jeans,49.99,16,Canada
Dress,39.99,13,UK
Sweater,29.99,17,Australia
Jacket,79.99,4,Germany
T-Shirt,19.99,18,USA
Jeans,49.99,14,Canada
Dress,39.99,11,UK
Sweater,29.99,19,Australia
Jacket,79.99,8,Germany
Jeans,49.99,20,USA
Dress,39.99,15,Canada
T-Shirt,19.99,9,UK
Sweater,29.99,13,Australia
Jacket,79.99,7,Germany
T-Shirt,19.99,21,USA
Jeans,49.99,16,Canada
Dress,39.99,10,UK
Sweater,29.99,16,Australia
Jacket,79.99,5,Germany
T-Shirt,19.99,24,USA
Jeans,49.99,15,Canada
Dress,39.99,12,UK
Sweater,29.99,15,Australia
Jacket,79.99,6,Germany
Jeans,49.99,17,USA
Dress,39.99,13,Canada
T-Shirt,19.99,8,UK
Sweater,29.99,12,Australia
Jacket,79.99,7,Germany
T-Shirt,19.99,27,USA
Jeans,49.99,18,Canada
Dress,39.99,9,UK
Sweater,29.99,18,Australia
Jacket,79.99,4,Germany
T-Shirt,19.99,19,USA
Jeans,49.99,14,Canada
Dress,39.99,11,UK
Sweater,29.99,14,Australia
Jacket,79.99,8,Germany
Jeans,49.99,20,USA
Dress,39.99,15,Canada
T-Shirt,19.99,10,UK
Sweater,29.99,13,Australia
Jacket,79.99,7,Germany
T-Shirt,19.99,23,USA
Jeans,49.99,17,Canada
Dress,39.99,10,UK
Sweater,29.99,17,Australia
Jacket,79.99,5,Germany
T-Shirt,19.99,25,USA
Jeans,49.99,15,Canada
Dress,39.99,12,UK
Sweater,29.99,16,Australia
Jacket,79.99,6,Germany
Jeans,49.99,16,USA
Dress,39.99,13,Canada
T-Shirt,19.99,9,UK
Sweater,29.99,15,Australia
Jacket,79.99,7,Germany
T-Shirt,19.99,20,USA
Jeans,49.99,14,Canada
Dress,39.99,11,UK
Sweater,29.99,14,Australia
Jacket,79.99,8,Germany
Jeans,49.99,18,USA
Dress,39.99,13,Canada
T-Shirt,19.99,8,UK
Sweater,29.99,12,Australia
Jacket,79.99,7,Germany
T-Shirt,19.99,24,USA
Jeans,49.99,15,Canada
Dress,39.99,10,UK
Sweater,29.99,15,Australia
Jacket,79.99,6,Germany
Jeans,49.99,17,USA
Dress,39.99,12,Canada
T-Shirt,19.99,7,UK
Sweater,29.99,11,Australia
Jacket,79.99,6,Germany
